Sex,Age,School failure,Whatsapp,W,Facebook,F,Instagram,I,Twitter,Tw,Snapchat,S,TikTok,Tk,Other social,O,Time spent on social media,Daily use of social media,Which Device,Time flows,Perceived anxiety during SM use,Perceived loneliness,SM checking,Video-games and online play,Time spent on line playng videogames,BSMAS,BSMAS cut-off underlined,RSES,CSIQ-A,STAI Y-1,STAI Y-2
Female,16,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Often,Approximately one hour,9,9,11,13,45,47
Female,16,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,2-4,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,11,11,22,31,44,49
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,More anxious,More alone,Infrequently (1-2 times),Sometimes,Approximately one hour,14,14,18,29,41,45
Female,17,No,0,No,0,No,1,Yes,1,Yes,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Everyday,3-5 hours,10,10,14,20,46,54
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Never,I don't play,13,13,11,17,43,45
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,15,15,9,26,32,53
Male,16,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,4-6,No,Smartphone,As always,As always,As always,Never,Everyday,3-5 hours,9,9,17,22,44,51
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Everyday,3-5 hours,10,10,16,13,43,47
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,More alone,Infrequently (1-2 times),Infrequently,Approximately one hour,9,9,6,22,39,59
Female,16,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,10 or more,Yes,Smartphone,Faster,Less anxious,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,10,10,17,28,55,48
Female,14,No,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0-2,No,Smartphone,Faster,More anxious,More alone,Never,Infrequently,<1 hour,17,17,20,18,44,45
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,Faster,As always,As always,Never,Often,Approximately one hour,12,12,22,27,36,42
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,As always,Never,Infrequently,Other,18,18,18,21,45,47
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Everyday,3-5 hours,13,13,14,16,40,53
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Often,1-3 hours,17,17,21,24,45,50
Female,17,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,Slower,As always,More alone,Infrequently (1-2 times),Infrequently,I don't play,17,17,15,28,42,68
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Never,Everyday,1-3 hours,12,12,12,24,36,52
Male,14,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,0-2,Yes,Smartphone,Faster,As always,As always,Never,Often,More than five hours,17,17,12,18,43,44
Male,16,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone and computer,As always,As always,As always,Infrequently (1-2 times),Often,1-3 hours,22,22,19,23,46,44
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,Faster,As always,Less alone,Never,Never,I don't play,15,15,18,25,57,40
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Sometimes,1-3 hours,15,15,22,19,36,40
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,1-3 hours,18,18,17,29,36,47
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,No,Smartphone,As always,As always,More alone,Never,Infrequently,Approximately one hour,8,8,17,15,50,48
Male,17,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone and computer,As always,As always,As always,Never,Infrequently,<1 hour,9,9,20,15,47,47
Female,16,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Never,Often,1-3 hours,13,13,18,11,35,48
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone and computer,As always,As always,As always,Never,Never,<1 hour,8,8,24,20,41,41
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,18,18,7,25,31,45
